posicao,song_name,artista,ultima_semana,pico,semanas
130,More Life,Drake,-,1,1
131,Human,OneRepublic,-,1,1
132,Sounds Of Summer: The Very Best Of The Beach Boys,The Beach Boys,-,1,1
133,My Beautiful Dark Twisted Fantasy,Kanye West,-,1,1
134,Nothing Was The Same,Drake,-,1,1
135,Hotel California,Eagles,-,1,1
136,Evolve,Imagine Dragons,-,1,1
137,Devil's Got A New Disguise: The Very Best Of Aerosmith,Aerosmith,-,1,1
138,MAP OF THE SOUL : 7,BTS,-,1,1
139,Moon Boy,Yung Bleu,-,1,1
140,American Teen,Khalid,-,1,1
141,Greatest Hits: The Ultimate Collection,Bon Jovi,-,1,1
142,Dont Smile At Me,Billie Eilish,-,1,1
143,Red,Taylor Swift,-,1,1
144,AM,Arctic Monkeys,-,1,1
145,Hey World,Lee Brice,-,1,1
146,I Will Always Love You: The Best Of Whitney Houston,Whitney Houston,-,1,1
147,Goldmine,Gabby Barrett,-,1,1
148,BLAME IT ON BABY,DaBaby,-,1,1
149,Country Again (Side A),Thomas Rhett,-,1,1
150,Just Cause Y'all Waited 2,Lil Durk,-,1,1
151,ANTI,Rihanna,-,1,1
152,Buy Dirt (EP),Jordan Davis,-,1,1
153,Number One Hits,Tim McGraw,-,1,1
154,The College Dropout,Kanye West,-,1,1
155,The Essential Billy Joel,Billy Joel,-,1,1
156,Greatest Hits,Red Hot Chili Peppers,-,1,1
157,Strait Out Of The Box,George Strait,-,1,1
158,Metallica,Metallica,-,1,1
159,35 Biggest Hits,Toby Keith,-,1,1
160,Shang-Chi And The Legend Of The Ten Rings: The Album,Soundtrack,-,1,1
161,Young Stoner Life: Slime Language 2,Young Thug & Various Artists,-,1,1
162,Born This Way,Lady Gaga,-,1,1
163,Chilombo,Jhene Aiko,-,1,1
164,"Thank U, Next",Ariana Grande,-,1,1
165,The Life Of Pablo,Kanye West,-,1,1
166,Three Cheers For Sweet Revenge,My Chemical Romance,-,1,1
167,Manic,Halsey,-,1,1
168,The Very Best Of Daryl Hall  John Oates,Daryl Hall John Oates,-,1,1
169,Free Spirit,Khalid,-,1,1
170,Birds In The Trap Sing McKnight,Travis Scott,-,1,1
171,Harry Styles,Harry Styles,-,1,1
172,Cry Baby,Melanie Martinez,-,1,1
173,Sitting Pretty On Top Of The World,Lauren Alaina,-,1,1
174,Cuz I Love You,Lizzo,-,1,1
175,Invasion Of Privacy,Cardi B,-,1,1
176,"Meet The Woo, V.2",Pop Smoke,-,1,1
